s_ecoreg;sp_richn;fmpd;fric
Aleutian Islands _s202200;36;0.660446176;0.148845973
Clipperton _s202200;88;0.674307879;0.655645678
Cortezian _s202200;99;0.657510398;0.744540436
Eastern Bering Sea _s202200;35;0.612432384;0.141092052
Gulf of Alaska _s202200;52;0.666248919;0.304363393
Hawaii _s202200;80;0.670396553;0.545116578
High seas _s202200;107;0.671758322;0.80206965
Kamchatka Shelf and Coast _s202200;30;0.619182784;0.098461503
Magdalena Transition _s202200;104;0.662452528;0.77987781
Mexican Tropical Pacific _s202200;94;0.668248661;0.713005375
North American Pacific Fijordland _s202200;60;0.6990887;0.436008607
Northern California _s202200;88;0.690146583;0.629322414
Oregon Washington Vancouver Coast and Shelf _s202200;73;0.693004372;0.512357371
Puget Trough Georgia Basin _s202200;29;0.786353411;0.202051166
Revillagigedos _s202200;87;0.685032602;0.61050971
Southern California Bight _s202200;112;0.680619511;0.963959256
High seas _s205045;109;0.671772114;0.816996841
Hawaii _s205045;80;0.668068213;0.548392287
Clipperton _s205045;74;0.642108073;0.512249286
Mexican Tropical Pacific _s205045;89;0.666895573;0.664348301
Revillagigedos _s205045;78;0.683074404;0.573232684
Northern California _s205045;96;0.688384754;0.722360793
Southern California Bight _s205045;114;0.675055128;0.961273063
Cortezian _s205045;98;0.655809015;0.728523204
Oregon Washington Vancouver Coast and Shelf _s205045;76;0.693176597;0.516092465
Magdalena Transition _s205045;104;0.659895437;0.761449561
Gulf of Alaska _s205045;56;0.679032806;0.386424973
Eastern Bering Sea _s205045;37;0.635627064;0.161806842
Aleutian Islands _s205045;44;0.67058176;0.210700346
North American Pacific Fijordland _s205045;66;0.700399913;0.482737748
Kamchatka Shelf and Coast _s205045;37;0.640241461;0.146184346
Puget Trough Georgia Basin _s205045;27;0.75346134;0.186247045
High seas _s205085;110;0.671484294;0.817945487
Hawaii _s205085;79;0.669619387;0.543734304
Clipperton _s205085;67;0.623257405;0.332098106
Mexican Tropical Pacific _s205085;89;0.668972635;0.664348301
Revillagigedos _s205085;73;0.688660583;0.553012227
Cortezian _s205085;97;0.654875265;0.725820987
Magdalena Transition _s205085;104;0.661160822;0.77987781
Southern California Bight _s205085;114;0.67924372;0.963774092
Northern California _s205085;96;0.689618991;0.722360793
Oregon Washington Vancouver Coast and Shelf _s205085;77;0.692719148;0.516864373
North American Pacific Fijordland _s205085;69;0.700011869;0.486437393
Aleutian Islands _s205085;47;0.66667762;0.222266921
Eastern Bering Sea _s205085;45;0.63189057;0.211878382
Gulf of Alaska _s205085;59;0.686334978;0.436008607
Puget Trough Georgia Basin _s205085;33;0.780000399;0.253015886
Kamchatka Shelf and Coast _s205085;38;0.643268801;0.146521387
High seas _s210026;107;0.674842869;0.804303239
Hawaii _s210026;81;0.669022386;0.55578253
Northern California _s210026;94;0.691234764;0.720743292
Southern California Bight _s210026;112;0.678924261;0.961273063
Cortezian _s210026;97;0.655243724;0.725820987
Oregon Washington Vancouver Coast and Shelf _s210026;74;0.692113211;0.5159875
Clipperton _s210026;85;0.671273164;0.637286041
Mexican Tropical Pacific _s210026;90;0.664834977;0.667125535
Revillagigedos _s210026;77;0.683157145;0.571650367
Magdalena Transition _s210026;105;0.662797297;0.77987781
Aleutian Islands _s210026;41;0.672064103;0.19720807
Eastern Bering Sea _s210026;36;0.622382888;0.148845973
Gulf of Alaska _s210026;57;0.682986068;0.394789078
North American Pacific Fijordland _s210026;66;0.689104098;0.482302963
Puget Trough Georgia Basin _s210026;31;0.778469236;0.221554693
Kamchatka Shelf and Coast _s210026;32;0.627640274;0.113217037
High seas _s210045;108;0.67052413;0.805650405
Hawaii _s210045;80;0.668316401;0.548392287
Clipperton _s210045;69;0.625182576;0.354624063
Mexican Tropical Pacific _s210045;89;0.665034078;0.664348301
Revillagigedos _s210045;63;0.689467802;0.369455882
Northern California _s210045;96;0.689489984;0.722360793
Southern California Bight _s210045;114;0.675995379;0.961273063
Cortezian _s210045;97;0.655079219;0.725820987
Oregon Washington Vancouver Coast and Shelf _s210045;76;0.694983506;0.516092465
North American Pacific Fijordland _s210045;69;0.70344072;0.486437393
Magdalena Transition _s210045;101;0.662061504;0.770037328
Gulf of Alaska _s210045;61;0.686684177;0.474064822
Aleutian Islands _s210045;46;0.669030593;0.222001932
Eastern Bering Sea _s210045;39;0.631343476;0.162229067
Kamchatka Shelf and Coast _s210045;37;0.640216367;0.146184346
Puget Trough Georgia Basin _s210045;30;0.779871085;0.239380677
High seas _s210085;102;0.662890902;0.657078249
Hawaii _s210085;75;0.670313487;0.503200589
Revillagigedos _s210085;52;0.671620212;0.330252487
Mexican Tropical Pacific _s210085;66;0.657771768;0.484779454
Cortezian _s210085;95;0.65493062;0.681267554
Magdalena Transition _s210085;99;0.661880298;0.750176306
Southern California Bight _s210085;114;0.67693037;0.962709818
Northern California _s210085;110;0.693687832;0.938931345
North American Pacific Fijordland _s210085;74;0.707894728;0.558562022
Oregon Washington Vancouver Coast and Shelf _s210085;83;0.701601041;0.63200086
Eastern Bering Sea _s210085;55;0.642086874;0.358974165
Gulf of Alaska _s210085;67;0.689297738;0.482438615
Aleutian Islands _s210085;58;0.663565887;0.393358538
Puget Trough Georgia Basin _s210085;31;0.783709225;0.246874986
Kamchatka Shelf and Coast _s210085;48;0.636108892;0.260831997
